"","ID","Temperature","Position","Radiances_raw","imgname","Date","Tree.ID","Table","Row","Line","Treatment","Tree.Species"
"46",21,21.6576652526855,"Silver_Shade",13619,"ThermalCamera2023-07-25_11-31-21+0200_T14_W_temperature","2023-07-25","T14",1,"R1",4,"W","Abies Alba"
"47",22,21.7256202697754,"Silver_Shade",13629,"ThermalCamera2023-07-25_11-31-21+0200_T14_W_temperature","2023-07-25","T14",1,"R1",4,"W","Abies Alba"
"48",23,21.5352306365967,"Silver_Shade",13601,"ThermalCamera2023-07-25_11-31-21+0200_T14_W_temperature","2023-07-25","T14",1,"R1",4,"W","Abies Alba"
"49",24,21.6100692749023,"Silver_Shade",13612,"ThermalCamera2023-07-25_11-31-21+0200_T14_W_temperature","2023-07-25","T14",1,"R1",4,"W","Abies Alba"
"50",25,21.5488414764404,"Silver_Shade",13603,"ThermalCamera2023-07-25_11-31-21+0200_T14_W_temperature","2023-07-25","T14",1,"R1",4,"W","Abies Alba"
"51",1,20.2198181152344,"Tree_Shade",13409,"ThermalCamera2023-07-25_11-31-53+0200_B4_D_temperature","2023-07-25","B4",1,"R1",5,"D","Fagus Sylvatica"
"52",2,20.3852005004883,"Tree_Shade",13433,"ThermalCamera2023-07-25_11-31-53+0200_B4_D_temperature","2023-07-25","B4",1,"R1",5,"D","Fagus Sylvatica"
"53",3,20.3576564788818,"Tree_Shade",13429,"ThermalCamera2023-07-25_11-31-53+0200_B4_D_temperature","2023-07-25","B4",1,"R1",5,"D","Fagus Sylvatica"
"54",4,20.3438816070557,"Tree_Shade",13427,"ThermalCamera2023-07-25_11-31-53+0200_B4_D_temperature","2023-07-25","B4",1,"R1",5,"D","Fagus Sylvatica"
"55",5,20.1991271972656,"Tree_Shade",13406,"ThermalCamera2023-07-25_11-31-53+0200_B4_D_temperature","2023-07-25","B4",1,"R1",5,"D","Fagus Sylvatica"
"56",6,22.6452713012695,"Black_Shade",13765,"ThermalCamera2023-07-25_11-31-53+0200_B4_D_temperature","2023-07-25","B4",1,"R1",5,"D","Fagus Sylvatica"
"57",7,22.6587333679199,"Black_Shade",13767,"ThermalCamera2023-07-25_11-31-53+0200_B4_D_temperature","2023-07-25","B4",1,"R1",5,"D","Fagus Sylvatica"
"58",8,22.3621559143066,"Black_Shade",13723,"ThermalCamera2023-07-25_11-31-53+0200_B4_D_temperature","2023-07-25","B4",1,"R1",5,"D","Fagus Sylvatica"
"59",9,22.6452713012695,"Black_Shade",13765,"ThermalCamera2023-07-25_11-31-53+0200_B4_D_temperature","2023-07-25","B4",1,"R1",5,"D","Fagus Sylvatica"
"60",10,22.0308475494385,"Black_Shade",13674,"ThermalCamera2023-07-25_11-31-53+0200_B4_D_temperature","2023-07-25","B4",1,"R1",5,"D","Fagus Sylvatica"
"61",11,19.9850540161133,"Green_Wet_Shade",13375,"ThermalCamera2023-07-25_11-31-53+0200_B4_D_temperature","2023-07-25","B4",1,"R1",5,"D","Fagus Sylvatica"
"62",12,19.922815322876,"Green_Wet_Shade",13366,"ThermalCamera2023-07-25_11-31-53+0200_B4_D_temperature","2023-07-25","B4",1,"R1",5,"D","Fagus Sylvatica"
"63",13,19.7635860443115,"Green_Wet_Shade",13343,"ThermalCamera2023-07-25_11-31-53+0200_B4_D_temperature","2023-07-25","B4",1,"R1",5,"D","Fagus Sylvatica"
"64",14,19.7358684539795,"Green_Wet_Shade",13339,"ThermalCamera2023-07-25_11-31-53+0200_B4_D_temperature","2023-07-25","B4",1,"R1",5,"D","Fagus Sylvatica"
"65",15,19.6249160766602,"Green_Wet_Shade",13323,"ThermalCamera2023-07-25_11-31-53+0200_B4_D_temperature","2023-07-25","B4",1,"R1",5,"D","Fagus Sylvatica"
"66",16,21.5828609466553,"Green_Dry_Shade",13608,"ThermalCamera2023-07-25_11-31-53+0200_B4_D_temperature","2023-07-25","B4",1,"R1",5,"D","Fagus Sylvatica"
"67",17,21.5556468963623,"Green_Dry_Shade",13604,"ThermalCamera2023-07-25_11-31-53+0200_B4_D_temperature","2023-07-25","B4",1,"R1",5,"D","Fagus Sylvatica"
"68",18,21.6032676696777,"Green_Dry_Shade",13611,"ThermalCamera2023-07-25_11-31-53+0200_B4_D_temperature","2023-07-25","B4",1,"R1",5,"D","Fagus Sylvatica"
"69",19,21.8071060180664,"Green_Dry_Shade",13641,"ThermalCamera2023-07-25_11-31-53+0200_B4_D_temperature","2023-07-25","B4",1,"R1",5,"D","Fagus Sylvatica"
"70",20,21.7527885437012,"Green_Dry_Shade",13633,"ThermalCamera2023-07-25_11-31-53+0200_B4_D_temperature","2023-07-25","B4",1,"R1",5,"D","Fagus Sylvatica"
